variant,canonical_locality,ward_name,ward_no,zone
विकास कुंज दिल्ली,विकास कुंज,केशोपुर,103,वेस्ट ज़ोन
शाम नगर कॉलोनी,शाम नगर,ख्याला,102,वेस्ट ज़ोन
central market road,central market,lajpat nagar,144,central zone
khajuri khas,khajoori khas,sri ram colony,246,shahdara north zone
हस्तसाल गाँव,हस्तसाल गाँव,हस्तसाल,108,वेस्ट ज़ोन
gorakh park east side,gorakh park east,gorakh park,235,shahdara north zone
asola road,asola,chhatarpur,159,south zone
dilshad colony road,dilshad colony,dilshad colony,217,shahdara south zone
vikash nagar,vikas nagar,vikas nagar,109,west zone
नत्थूपुरा,नत्थूपुरा,स्वरूप नगर,19,सिविल लाइंस ज़ोन
shalimarbagh block c,shalimar bagh block c,shalimar bagh - b,56,keshav puram zone
samaypoor village,samaypur village,samaypur badli,20,civil lines zone
ज्वालापुरी कालोनी,ज्वालापुरी,ज्वालापुरी,45,रोहिणी ज़ोन
nangal thakran village,nangal thakran,nangal thakran,31,narela zone
घंटा घर के पास,घंटा घर एरिया,हरि नगर,99,वेस्ट ज़ोन
चिराग दिल्ली दिल्ली,चिराग दिल्ली गाँव,चिराग दिल्ली,172,साउथ ज़ोन
saraswati vihar colony,saraswati vihar,saraswati vihar,58,keshav puram zone
rohini s13,rohini sector 13,rohini-d,54,rohini zone
समयपुर बादली गांव,समयपुर गाँव,समयपुर बादली,20,सिविल लाइंस ज़ोन
deerpark,deer park,dilshad garden,219,shahdara north zone
लाजपत नगर ४ नंबर,लाजपत नगर 4,लाजपत नगर,144,सेंट्रल ज़ोन
मदनगीर मुख्य गांव,मदनगीर गाँव,मदनगीर,165,साउथ ज़ोन
rohini sec 8b block,rohini sector 8 block b,rohini-a,21,rohini zone
पश्चिम विहार पूर्वी क्षेत्र,पश्चिम विहार ईस्ट,पश्चिम विहार,59,केशव पुरम ज़ोन
मंदाकिनी वाली गली,मंदाकिनी,चितरंजन पार्क,171,साउथ ज़ोन
rk puram sect 12,rk puram sector 12,r.k. puram,152,south zone
sultan puri blk c,sultanpuri block c,sultanpuri-a,43,rohini zone
रोहिणी सैक्टर 14,रोहिणी सेक्टर 14,रोहिणी-सी,51,रोहिणी ज़ोन
daryaganj red fort side,daryaganj,daryaganj,142,city sp zone
sarita vihar j pocket,sarita vihar pocket j,sarita vihar,187,south zone
मंगलापुरी विलेज,मंगलापुरी,मंगलापुरी,119,नजफगढ़ ज़ोन
नजफगढ़ फिरनी क्षेत्र,नजफगढ़ फिरनी रोड,नजफगढ़,127,नजफगढ़ ज़ोन
jhilmil residential colony,jhilmil colony,jhilmil,216,shahdara south zone
yojnavihar,yojna vihar,anand vihar,206,shahdara south zone
हौज खास दिल्ली,हौज खास गाँव,हौज खास,148,साउथ ज़ोन
सुभद्रा कोलनी,सुभद्रा कॉलोनी,शास्त्री नगर,70,सिटी एसपी ज़ोन
वसंत कुंज सैक्टर बी,वसंत कुंज सेक्टर बी,वसंत कुंज,156,साउथ ज़ोन
ईस्ट आज़ाद नगर रोड,ईस्ट आज़ाद नगर,आज़ाद नगर,214,शाहदरा साउथ ज़ोन
कपासहेड़ा गांव,कापसहेड़ा गाँव,कापसहेड़ा,132,नजफगढ़ ज़ोन
सीआरपीएफ कैंप,सीआरपीएफ कैंप झड़ौदा,सैनिक एन्clave,112,नजफगढ़ ज़ोन
नांगलोई मैन गांव,नांगलोई गाँव,नांगलोई,34,रोहिणी ज़ोन
ख्याला पुराना गांव,ख्याला गाँव,ख्याला,102,वेस्ट ज़ोन
आर के पुरम का सेक्टर 12,आरके पुरम सेक्टर 12,आर.के. पुरम,152,साउथ ज़ोन
मजनू का टीला बस्ती,मजनू का टीला,सिविल लाइंस,73,सिविल लाइंस ज़ोन
वज़ीरपुर बस्ती,वज़ीरपुर गाँव,वज़ीरपुर,66,केशव पुरम ज़ोन
नांगलोई विस्तार,नांगलोई एक्सटेंशन,निहाल विहार,47,रोहिणी ज़ोन
paschimvihar west,paschim vihar west,paschim vihar,59,keshav puram zone
सरिता विहार पॉकेट-जे,सरिता विहार पॉकेट जे,सरिता विहार,187,साउथ ज़ोन
सिविल लाइंस दिल्ली,सिविल लाइंस,सिविल लाइंस,73,सिविल लाइंस ज़ोन
कंझावला गांव,कंझावला गाँव,कंझावला,32,नरेला ज़ोन
rk puram sect 8,rk puram sector 8,r.k. puram,152,south zone
manglapuri village,manglapuri,manglapuri,119,najafgarh zone
sadar bazar market,sadar bazar market,sadar bazar,72,city sp zone
राणा प्रताप बाग मार्केट,रणा प्रताप बाग,संगम पार्क,67,केशव पुरम ज़ोन
अलकनंदा,अलकनंदा,चितरंजन पार्क,171,साउथ ज़ोन
mundka industrial area,mundka industrial area,mundka,35,rohini zone
madanpur khadar delhi,madanpur khadar village,madanpur khadar east,185,south zone
उत्तम नगर ईस्ट,उत्तम नगर ईस्ट,उत्तम नगर,115,नजफगढ़ ज़ोन
दयालपुर देहात,दयालपुर गांव,दयालपुर,242,शाहदरा नॉर्थ ज़ोन
clock tower hari nagar,clock tower area,hari nagar,99,west zone
uttam nagar east delhi,uttam nagar east,uttam nagar,115,najafgarh zone
सीलमपुर मेट्रो साइड,सीलमपुर मेट्रो क्षेत्र,सीलमपुर,225,शाहदरा नॉर्थ ज़ोन
avantika market,avantika,mangolpuri-a,49,rohini zone
mangolpuri kalan rohini,mangolpuri kalan,mangolpuri-a,49,rohini zone
khel gaon marg,khel gaon,hauj khas,148,south zone
khyala village,khyala village,khyala,102,west zone
दक्षिणपुरी एरिया,दक्षिणपुरी,दक्षिणपुरी,164,साउथ ज़ोन
चाँदनी महल वाली गली,चाँदनी महल,चाँदनी महल,76,सिटी एसपी ज़ोन
inderpuri road,inderpuri,inder puri,140,karol bagh zone
थाना रोड नजफगढ़,थाना रोड,नजफगढ़,127,नजफगढ़ ज़ोन
west vinod nagar delhi,west vinod nagar,vinod nagar,198,east zone
rk puram s2,rk puram sector 2,r.k. puram,152,south zone
gujranwalatown,gujranwala town,model town,68,keshav puram zone
चाणक्य प्लेस एरिया,चाणक्य प्लेस,डाबड़ी,117,नजफगढ़ ज़ोन
mustafabad side,mustafabad,mustafabad,243,shahdara north zone
जहांगीरपुरी ब्लाक सी,जहाँगीरपुरी ब्लॉक सी,जहाँगीरपुरी,18,सिविल लाइंस ज़ोन
sector 21 dwarka,dwarka sector 21,dwarka-c,130,najafgarh zone
ashok vihar phase two,ashok vihar phase 2,ashok vihar,65,keshav puram zone
किराड़ी सुलेमान नगर वाली गली,किराड़ी सुलेमान नगर,किराड़ी,37,रोहिणी ज़ोन
रघु नगर कॉलोनी,रघु नगर,सागरपुर,118,नजफगढ़ ज़ोन
bankner village,bankner village,bankner,2,narela zone
rohini sector 24,rohini sector 24,rithala,23,rohini zone
चंदर नगर रोड,चंदर नगर,जगतपुरी,209,शाहदरा साउथ ज़ोन
जैतपुर एक्सटेंशन २,जैतपुर एक्सटेंशन फेज 2,जैतपुर,184,साउथ ज़ोन
गौतमपुरी,गौतम पुरी,गौतम पुरी (gen.),226,शाहदरा नॉर्थ ज़ोन
